vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-LSP-001,D5,d5_validation_workbook,Laagdremp. steunpunten,5,laagdrempelige_steunpunten,Minimaal één laagdrempelig steunpunt per gemeente,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-LSP-002,D5,d5_validation_workbook,Laagdremp. steunpunten,6,laagdrempelige_steunpunten,Passend netwerk van verschillende typen LSP's,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-LSP-003,D5,d5_validation_workbook,Laagdremp. steunpunten,7,laagdrempelige_steunpunten,Doelgroep EPA en sociaal-emotionele kwetsbaarheid,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-LSP-004,D5,d5_validation_workbook,Laagdremp. steunpunten,8,laagdrempelige_steunpunten,Tien kenmerken voor LSP's,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-LSP-005,D5,d5_validation_workbook,Laagdremp. steunpunten,9,laagdrempelige_steunpunten,Samenhang met mentale gezondheidsnetwerken,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-LSP-006,D5,d5_validation_workbook,Laagdremp. steunpunten,10,laagdrempelige_steunpunten,"Eigenaar, coördinator en uitvoerders",dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-LSP-007,D5,d5_validation_workbook,Laagdremp. steunpunten,11,laagdrempelige_steunpunten,Financiering en structurele borging,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-SV-001,D5,d5_validation_workbook,Sociaal verwijzen,5,sociaal_verwijzen,Capaciteit brede gesprek huisarts/eerstelijn,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-SV-002,D5,d5_validation_workbook,Sociaal verwijzen,6,sociaal_verwijzen,Brugfunctionaris sociaal domein,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-SV-003,D5,d5_validation_workbook,Sociaal verwijzen,7,sociaal_verwijzen,Brede vraagverheldering en toeleiding,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-SV-004,D5,d5_validation_workbook,Sociaal verwijzen,8,sociaal_verwijzen,Lokalisatie doelgroep in wijken/dorpen,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-SV-005,D5,d5_validation_workbook,Sociaal verwijzen,9,sociaal_verwijzen,"Verwijzers, terugkoppeling en vindbaarheid",dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-SV-006,D5,d5_validation_workbook,Sociaal verwijzen,10,sociaal_verwijzen,Samenhang met MGN en overgewicht volwassenen,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
D5-SV-007,D5,d5_validation_workbook,Sociaal verwijzen,11,sociaal_verwijzen,Financiering brugfunctie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,welzijn_sociale_basis,,,,,
