vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D6-SLT-001,D6,d6_validation_workbook,SLT,7,stevige_lokale_teams,Formele betekenis: Wat regelt de SLT-besluitroute formeel voor D6?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-002,D6,d6_validation_workbook,SLT,8,stevige_lokale_teams,Betrokken onderdelen: Welke onderdelen vallen onder de gekozen interpretatie?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-003,D6,d6_validation_workbook,SLT,9,stevige_lokale_teams,D6-relatie: Welke D6-relatie past het best?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-004,D6,d6_validation_workbook,SLT,10,stevige_lokale_teams,Schaal: Op welke schaal werkt dit?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-005,D6,d6_validation_workbook,SLT,11,stevige_lokale_teams,Verantwoordelijke eigenaar: Welke partij is verantwoordelijk eigenaar?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-006,D6,d6_validation_workbook,SLT,12,stevige_lokale_teams,Coördinator: Welke partij coördineert?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-007,D6,d6_validation_workbook,SLT,13,stevige_lokale_teams,Financieringslijn: Welke financieringslijn geldt?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-008,D6,d6_validation_workbook,SLT,14,stevige_lokale_teams,"Continuïteit: Is dit structureel, projectmatig of nog open?",mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-SLT-009,D6,d6_validation_workbook,SLT,15,stevige_lokale_teams,Bewijstype: Welk type bewijs ondersteunt de keuze?,mandate_interpretation,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-001,D6,d6_validation_workbook,Wijkteams,7,wijkteams_almere,D6-relatie: Welke beschrijving past bij Wijkteams Almere?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-002,D6,d6_validation_workbook,Wijkteams,8,wijkteams_almere,Relatie met SLT: Wat is de relatie tussen Wijkteams Almere en Stevige Lokale Teams?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-003,D6,d6_validation_workbook,Wijkteams,9,wijkteams_almere,Verantwoordelijke eigenaar: Welke partij is verantwoordelijk eigenaar?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-004,D6,d6_validation_workbook,Wijkteams,10,wijkteams_almere,Coördinator: Welke partij coördineert?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-005,D6,d6_validation_workbook,Wijkteams,11,wijkteams_almere,Uitvoerder/partner: Welke partij voert uit of is partner?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-006,D6,d6_validation_workbook,Wijkteams,12,wijkteams_almere,Financieringslijn: Welke financieringslijn geldt?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-007,D6,d6_validation_workbook,Wijkteams,13,wijkteams_almere,"Continuïteit: Is dit structureel, projectmatig of nog open?",classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-008,D6,d6_validation_workbook,Wijkteams,14,wijkteams_almere,Schaal: Op welke schaal werkt dit?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
D6-WIJK-009,D6,d6_validation_workbook,Wijkteams,15,wijkteams_almere,Bewijstype: Welk type bewijs ondersteunt de keuze?,classification_choice,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,wijkteams_slt_leads,,,,,
